"Id","Name","SetupEntityAccessItems"
"01p0W000003X4ZJQA0","AllPublishedArticlesControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875kAAA","apiSSC_AllCoachesController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7HQAQ","apiSSC_AllCoachesControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875nAAA","apiSSC_AvailableCoachesCountController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875oAAA","apiSSC_AvailableCoachesCount_Test","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875pAAA","apiSSC_AvailableCoachesListController2","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875mAAA","apiSSC_AvailCoachesListCont2_Test","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875sAAA","apiSSC_CoachAllOpenCasesController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7IQAQ","apiSSC_CoachAllOpenCasesControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875uAAA","apiSSC_CoachOpenCasesController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7JQAQ","apiSSC_CoachOpenCasesControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000004875wAAA","apiSSC_CoachStudentTypeController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww7KQAQ","apiSSC_CoachStudentTypeControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd00000048762AAA","apiSSC_MessagingAccountCreatedController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd00000048763AAA","apiSSC_MessagingAccountCreated_Test","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
