Metadata Name,Profiles,Permission Sets,Permission Set Groups
EmailMessageFactory,['System Administrator'],[],[]
EmailMessageFailureMock,['System Administrator'],[],[]
EmailMessageService,['System Administrator'],[],[]
EmailMessageSuccessMock,['System Administrator'],[],[]
EmailMessageTriggerTest,['System Administrator'],[],[]
EmailMessageViewerController,"['ASU Service - Success Coach', 'System Administrator']","['Role: Academic Advisor Portal (Service Users)', 'Role: EdPlus Coach Portal (Non-Success Coach)', 'Success Portal Management (EdPlus)']",[]
EmailMessageViewerControllerTest,['System Administrator'],[],[]
EmailTransformer,['System Administrator'],[],[]
EmailTransformerTest,['System Administrator'],[],[]
ErrorLogger,['System Administrator'],[],[]
ErrorLoggerTest,['System Administrator'],[],[]
ExternalObjectQueryController,['System Administrator'],[],[]
ExternalObjectQueryControllerTest,['System Administrator'],[],[]
FamilyPortalController,"['Family Portal Profile', 'ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
FamilyPortalControllerTest,['System Administrator'],[],[]
FamilyPortalGuardianDeduplicationService,"['Family Portal Profile', 'ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
FamilyPortalGuardianDispatcher,"['Family Portal Profile', 'ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
FamilyPortalGuardianTriggerTest,['System Administrator'],[],[]
FamilyPortalInterestDeduplicationService,"['Family Portal Profile', 'ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
FamilyPortalStudentDeduplicationService,"['Family Portal Profile', 'ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
FeedbackButtonController,['System Administrator'],[],[]
FeedbackButtonControllerTest,['System Administrator'],[],[]
FeedbackButtonService,['System Administrator'],['Role: Academic Advisor Portal (Service Users)'],[]
FeedbackButtonServiceTest,['System Administrator'],[],[]
FeedbackController,['System Administrator'],[],[]
FeedbackControllerTest,['System Administrator'],[],[]
FinancialAidPackageHandler,['System Administrator'],[],[]
FinancialAidPackageTriggerTest,['System Administrator'],[],[]
ForgotPasswordController,['System Administrator'],['Additional Administrator Permissions'],[]
ForgotPasswordControllerTest,['System Administrator'],['Additional Administrator Permissions'],[]
FullCaseCommentsComponentController,['System Administrator'],[],[]
FullCaseCommentsComponentControllerTest,['System Administrator'],[],[]
FullCaseCommentsController,['System Administrator'],[],[]
FullCaseCommentsControllerTest,['System Administrator'],[],[]
FYSConversationUpdateHandler,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
FYSConversationUpdateTriggerTest,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
FYSStudentWrapper,['System Administrator'],[],[]
GenerateReferenceIdOnEmailBody,['System Administrator'],[],[]
GenerateReferenceIdOnEmailBodyTest,['System Administrator'],[],[]
GroupFactory,['System Administrator'],[],[]
GroupService,['System Administrator'],[],[]
Hasher,['System Administrator'],[],[]
HelpDeskController,['System Administrator'],[],[]
HelpDeskControllerTest,['System Administrator'],[],[]
HTTPRestService_EnterpriseContact,['System Administrator'],[],[]
HTTPRestService_EnterpriseContactTest,['System Administrator'],[],[]
HTTPRestService_InContact,['System Administrator'],[],[]
HTTPRestService_InContactTest,['System Administrator'],[],[]
HTTPRestService_InContact_MockImpl,['System Administrator'],[],[]
HTTPRestService_MarketingCloud,['System Administrator'],[],[]
HTTPRestService_RocketChat,['System Administrator'],[],[]
HTTPRestService_RocketChatTest,['System Administrator'],[],[]
HTTPRestService_RocketChat_MockImpl,['System Administrator'],[],[]
IDHelper,['System Administrator'],[],[]
IDHelperTest,['System Administrator'],[],[]
IDispatch,['System Administrator'],[],[]
IndividualEmailResultDispatcher,['System Administrator'],[],[]
IndividualEmailResultService,['System Administrator'],[],[]
IndividualEmailResultTriggerTest,['System Administrator'],[],[]
InsertEmailMessage,"['My ASU Profile', 'System Administrator']",[],[]
InsertEmailMessageCalloutBody,['System Administrator'],[],[]
InsertEmailMessageCalloutBodyTest,['System Administrator'],[],[]
InsertEmailMessageTest,['System Administrator'],[],[]
InvalidSelfServicePinException,['System Administrator'],[],[]
ITrigger,['System Administrator'],['Additional Administrator Permissions'],[]
JiraAddCommentFormController,"['ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
JiraAddCommentFormControllerTest,['System Administrator'],[],[]
JiraHttpMockCallout,['System Administrator'],[],[]
JiraReportIssueController,"['ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
JiraReportIssueControllerTest,['System Administrator'],[],[]
JiraViewAllIssuesController,"['ASU Community', 'ASU Community CAP', 'System Administrator']",[],[]
JiraViewAllIssuesControllerTest,['System Administrator'],[],[]
JIRAWebserviceCallout,['System Administrator'],[],[]
